Country,Population
Afghanistan,"330,190,364"
Albania,"38,438,988"
Algeria,"451,888,737"
American Samoa,"747,830"
Andorra,"996,893"
Angola,"223,765,416"
Antigua and Barbuda,"1,085,804"
Argentina,"506,940,910"
Armenia,"39,094,793"
Aruba,"1,285,259"
Australia,"270,197,100"
Austria,"107,154,613"
Azerbaijan,"111,563,891"
"Bahamas, The","4,356,207"
Bahrain,"12,724,611"
Bangladesh,"1,875,157,358"
Barbados,"3,574,888"
Belarus,"125,614,000"
Belgium,"137,922,878"
Belize,"3,639,532"
Benin,"110,015,392"
Bermuda,"833,274"
Bhutan,"8,574,210"
Bolivia,"123,565,479"
Bosnia and Herzegovina,"50,251,262"
Botswana,"24,567,363"
Brazil,"2,436,961,595"
Brunei,"4,857,456"
Bulgaria,"99,634,717"
Burkina Faso,"180,773,379"
Burundi,"105,641,434"
Cambodia,"176,067,496"
Cameroon,"242,984,998"
Canada,"424,631,743"
Cayman Islands,"650,063"
Central African Republic,"52,695,436"
Chad,"134,574,837"
Chile,"214,335,219"
China,"17,020,440,000"
Colombia,"569,780,011"
Comoros,"8,048,379"
Congo (Brazzaville),"47,921,969"
Congo (Kinshasa),"726,032,728"
Costa Rica,"56,977,041"
Cote d'Ivoire,"231,353,768"
Croatia,"57,332,547"
Cuba,"146,354,106"
Curacao,"1,818,976"
Cyprus,"13,559,436"
Czech Republic,"134,118,454"
Denmark,"70,914,112"
Djibouti,"10,257,032"
Dominica,"917,686"
Dominican Republic,"123,189,809"
Ecuador,"182,230,568"
Egypt,"951,122,457"
El Salvador,"79,431,337"
Equatorial Guinea,"8,106,823"
Eritrea,"65,304,521"
Estonia,"17,595,520"
Ethiopia,"1,020,560,234"
Faeroe Islands,"634,431"
Fiji,"10,864,291"
Finland,"68,624,950"
France,"824,938,907"
French Polynesia,"3,337,940"
Gabon,"18,453,675"
"Gambia, The","19,404,129"
Georgia,"57,178,250"
Germany,"1,067,225,439"
Ghana,"286,151,146"
Greece,"144,053,846"
Greenland,"736,355"
Grenada,"1,343,851"
Guam,"2,060,203"
Guatemala,"169,640,044"
Guinea,"129,090,454"
Guinea-Bissau,"18,958,005"
Guyana,"9,979,087"
Haiti,"121,953,960"
Honduras,"91,727,619"
Hong Kong SAR,"89,405,300"
Hungary,"130,961,018"
Iceland,"3,941,057"
India,"14,840,677,489"
Indonesia,"2,961,622,996"
Iran,"923,834,317"
Iraq,"365,264,739"
Ireland,"55,251,905"
Isle of Man,"1,054,428"
Israel,"92,054,900"
Italy,"756,644,197"
Jamaica,"34,479,949"
Japan,"1,658,333,973"
Jordan,"72,060,000"
Kazakhstan,"201,898,524"
Kenya,"480,160,299"
Kiribati,"1,193,860"
Kosovo,"22,552,872"
Kuwait,"32,435,669"
Kyrgyzstan,"67,903,300"
Laos,"77,391,679"
Latvia,"28,734,025"
Lebanon,"51,440,559"
Lesotho,"25,298,086"
Liberia,"45,169,423"
Libya,"73,907,494"
Liechtenstein,"454,648"
Lithuania,"42,503,757"
Luxembourg,"6,194,192"
Macao SAR,"6,331,385"
Madagascar,"245,687,652"
Malawi,"174,714,562"
Malaysia,"342,367,816"
Maldives,"3,951,655"
Mali,"161,444,977"
Malta,"5,258,163"
Marshall Islands,"679,051"
Mauritania,"42,159,237"
Mauritius,"16,211,240"
Mexico,"1,459,239,251"
"Micronesia, Fed. Sts.","1,370,874"
Moldova,"46,685,503"
Monaco,"450,289"
Mongolia,"33,474,770"
Montenegro,"8,013,498"
Morocco,"396,127,749"
Mozambique,"281,338,192"
Myanmar,"657,364,707"
Namibia,"26,843,019"
Nepal,"331,536,833"
Netherlands,"212,714,779"
New Caledonia,"3,074,664"
New Zealand,"54,138,900"
Nicaragua,"71,936,438"
Niger,"179,830,368"
Nigeria,"1,876,067,490"
North Korea,"310,626,213"
North Macedonia,"27,149,735"
Norway,"61,150,614"
Oman,"33,638,350"
Pakistan,"2,096,337,537"
Panama,"44,569,300"
Papua New Guinea,"81,344,244"
Paraguay,"78,205,728"
Peru,"364,087,353"
Philippines,"1,134,264,811"
Poland,"497,082,208"
Portugal,"136,355,443"
Puerto Rico,"49,076,233"
Qatar,"14,791,412"
Romania,"274,104,426"
Russia,"1,866,571,740"
Rwanda,"127,733,672"
Samoa,"2,356,980"
San Marino,"385,175"
Sao Tome and Principe,"2,091,762"
Saudi Arabia,"322,001,289"
Senegal,"151,603,615"
Serbia,"96,093,115"
Seychelles,"1,103,634"
Sierra Leone,"67,155,743"
Singapore,"59,279,000"
Sint Maarten (Dutch part),"473,071"
Slovakia,"69,973,666"
Slovenia,"26,213,294"
Solomon Islands,"6,249,653"
Somalia,"113,434,059"
South Africa,"627,501,220"
South Korea,"630,319,036"
South Sudan,"110,895,847"
Spain,"573,235,502"
Sri Lanka,"257,486,000"
St. Kitts and Nevis,"645,980"
St. Lucia,"2,189,728"
St. Martin (French part),"374,723"
St. Vincent and the Grenadines,"1,414,106"
Sudan,"421,476,759"
Suriname,"6,540,289"
Swaziland,"14,725,117"
Sweden,"118,767,821"
Switzerland,"98,025,323"
Syria,"248,846,293"
Tajikistan,"91,118,164"
Tanzania,"524,239,387"
Thailand,"848,532,727"
Timor-Leste,"12,939,182"
Togo,"74,251,518"
Tonga,"1,320,522"
Trinidad and Tobago,"16,940,331"
Tunisia,"131,942,100"
Turkey,"891,744,785"
Turkmenistan,"62,624,034"
Turks and Caicos Islands,"346,843"
Uganda,"389,201,806"
Ukraine,"611,210,613"
United Arab Emirates,"72,321,444"
United Kingdom,"793,392,872"
United States,"3,878,445,547"
Uruguay,"43,478,142"
Uzbekistan,"348,588,450"
Vanuatu,"2,796,980"
Venezuela,"353,444,919"
Vietnam,"1,082,317,000"
Yemen,"268,633,952"
Zambia,"154,726,402"
Zimbabwe,"167,105,536"
